{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.107, 'neu': 0.794, 'pos': 0.099, 'compound': -0.0387}
{'neg': 0.347, 'neu': 0.553, 'pos': 0.101, 'compound': -0.8957}
{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}
{'neg': 0.099, 'neu': 0.705, 'pos': 0.196, 'compound': 0.3864}
{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.0772}
{'neg': 0.169, 'neu': 0.75, 'pos': 0.081, 'compound': -0.76}
{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.092, 'neu': 0.674, 'pos': 0.234, 'compound': 0.7816}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.152, 'neu': 0.508, 'pos': 0.34, 'compound': 0.4504}
{'neg': 0.178, 'neu': 0.681, 'pos': 0.141, 'compound': -0.5719}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.4003}
{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}
{'neg': 0.196, 'neu': 0.524, 'pos': 0.28, 'compound': 0.5386}
{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.4404}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.39, 'neu': 0.413, 'pos': 0.197, 'compound': -0.6444}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.4199}
{'neg': 0.144, 'neu': 0.741, 'pos': 0.116, 'compound': -0.1531}
{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.4199}
{'neg': 0.232, 'neu': 0.544, 'pos': 0.224, 'compound': -0.0431}
{'neg': 0.086, 'neu': 0.747, 'pos': 0.167, 'compound': 0.34}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.6369}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.16, 'neu': 0.753, 'pos': 0.087, 'compound': -0.34}
{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.7992}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.334, 'neu': 0.666, 'pos': 0.0, 'compound': -0.7587}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
